datum,PG1,PG2,PG3,LG1,LG2,LG3,TT,TP
02.08.2020_14:55,43,44,42,59,62,53,33,34
02.08.2020_15:05,43,44,42,60,62,55,33,34
02.08.2020_15:15,43,44,42,59,62,53,33,34
02.08.2020_15:25,43,44,43,59,61,53,33,34
02.08.2020_15:35,43,44,43,59,61,53,33,34
02.08.2020_15:45,43,45,43,59,60,53,33,34
02.08.2020_15:55,43,45,43,58,60,52,33,34
02.08.2020_16:05,43,45,43,58,60,53,33,34
02.08.2020_16:15,44,45,43,58,60,54,33,34
02.08.2020_16:25,44,45,43,57,59,53,33,34
02.08.2020_16:35,44,45,44,57,59,53,33,34
02.08.2020_16:45,44,45,44,57,59,52,33,34
02.08.2020_16:55,44,45,44,56,58,53,33,34
02.08.2020_17:05,44,45,44,56,58,53,33,34
02.08.2020_17:15,44,45,44,56,58,52,33,34
02.08.2020_17:25,44,46,44,55,58,52,33,34
02.08.2020_17:35,44,46,44,55,58,53,33,34
02.08.2020_17:45,45,46,45,55,57,52,34,34
02.08.2020_17:55,45,46,45,55,57,53,34,34
02.08.2020_18:05,45,46,45,55,57,52,34,34
02.08.2020_18:15,45,46,45,54,57,52,34,34
02.08.2020_18:25,45,46,45,54,57,46,34,34
02.08.2020_18:35,45,46,45,54,56,52,34,34
02.08.2020_18:45,45,46,45,54,56,51,34,34
02.08.2020_18:55,45,46,45,54,56,52,33,34
02.08.2020_19:05,45,46,45,54,56,50,33,34
02.08.2020_19:15,45,46,46,54,56,52,33,34
02.08.2020_19:25,45,46,45,54,55,51,33,34
02.08.2020_19:35,45,46,46,53,56,52,33,34
02.08.2020_19:45,45,46,46,54,55,52,33,34
02.08.2020_19:55,45,46,46,53,55,51,33,34
02.08.2020_20:05,45,46,46,53,55,51,33,34
02.08.2020_20:15,45,46,46,53,55,50,33,34
02.08.2020_20:25,45,46,46,53,55,52,33,34
02.08.2020_20:35,45,46,46,53,54,51,33,34
02.08.2020_20:45,45,46,46,53,54,51,33,34
02.08.2020_20:55,46,46,46,53,54,50,33,34
02.08.2020_21:05,46,46,46,53,54,50,33,34
02.08.2020_21:15,46,46,46,53,54,50,33,34
02.08.2020_21:25,46,46,46,54,54,49,33,34
02.08.2020_21:35,46,46,46,53,53,50,33,34
02.08.2020_21:45,46,47,46,53,53,50,33,34
02.08.2020_21:55,46,46,46,53,53,50,33,34
02.08.2020_22:05,46,46,46,53,53,50,33,34
02.08.2020_22:15,46,47,46,53,53,50,33,34
02.08.2020_22:25,46,47,46,53,53,50,33,34
02.08.2020_22:35,46,47,46,52,53,49,33,34
02.08.2020_22:45,46,47,47,52,52,50,33,34
02.08.2020_22:55,46,47,47,52,52,50,33,34
02.08.2020_23:05,46,47,47,52,52,49,33,34
02.08.2020_23:15,46,47,47,49,53,44,33,34
02.08.2020_23:25,46,47,47,52,52,50,33,34
02.08.2020_23:35,46,47,47,52,52,49,33,34
02.08.2020_23:45,46,47,47,52,52,49,33,34
02.08.2020_23:55,46,47,47,52,52,49,33,34
03.08.2020_00:05,46,47,47,52,51,49,33,34
03.08.2020_00:15,46,48,47,52,51,49,33,34
03.08.2020_00:25,46,48,48,52,51,49,33,34
03.08.2020_00:35,46,48,48,52,51,49,33,34
03.08.2020_00:45,46,48,48,52,51,50,33,34
03.08.2020_00:55,46,48,48,51,51,49,33,34
03.08.2020_01:05,46,48,48,51,51,48,33,34
03.08.2020_01:15,46,48,48,51,51,49,33,34
03.08.2020_01:25,46,48,48,51,48,45,33,34
03.08.2020_01:35,46,48,48,51,51,49,33,34
03.08.2020_01:45,46,48,48,51,51,48,33,34
03.08.2020_01:55,46,48,48,51,51,48,33,33
03.08.2020_02:05,46,49,49,51,50,48,33,33
03.08.2020_02:15,46,49,48,51,50,48,33,34
03.08.2020_02:25,46,49,48,51,50,48,32,33
03.08.2020_02:35,46,49,48,51,50,48,32,33
03.08.2020_02:45,46,49,49,51,50,48,32,33
03.08.2020_02:55,46,49,49,51,50,47,83,33
03.08.2020_03:05,46,49,49,50,51,48,130,33
03.08.2020_03:15,47,49,49,51,50,48,129,33
03.08.2020_03:25,46,49,49,51,51,48,130,33
03.08.2020_03:35,46,49,49,50,51,48,129,33
03.08.2020_03:45,47,49,49,51,51,48,179,33
03.08.2020_03:55,47,49,49,50,50,48,199,33
03.08.2020_04:05,51,52,55,52,53,53,173,38
03.08.2020_04:15,53,56,58,57,52,57,199,40
03.08.2020_04:25,55,58,62,58,55,60,199,42
03.08.2020_04:35,56,60,64,61,60,59,199,42
03.08.2020_04:45,58,61,65,62,60,63,199,43
03.08.2020_04:55,58,62,68,63,60,62,199,44
03.08.2020_05:05,59,63,68,63,60,63,200,44
03.08.2020_05:15,62,64,86,64,61,65,200,45
03.08.2020_05:25,124,123,166,118,124,127,199,86
03.08.2020_05:36,157,160,210,169,170,169,172,100
03.08.2020_05:46,180,188,229,201,202,197,133,100
03.08.2020_05:56,198,209,237,194,198,203,195,99
03.08.2020_06:06,214,227,237,204,200,199,200,100
03.08.2020_06:16,226,229,235,196,196,196,199,100
03.08.2020_06:26,222,229,237,201,202,203,194,100
03.08.2020_06:36,231,230,231,203,204,201,199,100
03.08.2020_06:46,234,227,235,198,200,201,199,99
03.08.2020_06:56,230,227,231,195,200,200,147,100
03.08.2020_07:06,220,228,229,200,200,203,128,99
03.08.2020_07:16,201,215,233,201,202,203,129,99
03.08.2020_07:26,196,215,231,201,201,200,130,99
03.08.2020_07:36,232,235,234,200,199,203,129,100
03.08.2020_07:46,233,238,233,194,197,199,130,100
03.08.2020_07:56,231,240,233,198,200,203,129,99
03.08.2020_08:06,233,240,233,204,200,204,128,100
03.08.2020_08:16,232,233,231,204,197,204,185,100
03.08.2020_08:26,233,234,232,203,201,200,201,105
03.08.2020_08:36,200,217,223,195,194,182,134,104
03.08.2020_08:46,222,237,229,203,204,196,192,104
03.08.2020_08:56,234,237,232,200,201,200,199,104
03.08.2020_09:06,230,235,234,199,200,202,201,105
03.08.2020_09:16,235,235,234,196,201,202,200,104
03.08.2020_09:26,230,232,232,196,200,203,137,104
03.08.2020_09:36,233,230,234,200,198,200,130,105
03.08.2020_09:46,231,234,233,205,199,200,182,105
03.08.2020_09:56,222,232,229,199,202,202,200,105
03.08.2020_10:06,215,216,223,197,202,200,184,105
03.08.2020_10:16,216,217,221,204,198,198,199,105
03.08.2020_10:26,223,219,221,198,199,194,200,105
03.08.2020_10:36,216,220,220,199,198,196,200,105
03.08.2020_10:46,220,220,222,200,198,202,200,104
03.08.2020_10:56,217,220,218,198,199,195,199,105
03.08.2020_11:06,220,218,221,204,201,199,199,104
